,source_id,ra,dec,pseudocolour,rp,bp,dist,gmag,pmra,pmdec,radial_velocity,x,y,z
3713,6095384532415991296,209.0815092708652,-46.59335370928637,,4.798177,6.0652013,92.48356,5.507075,-137.91833,-91.02165,-0.18658188,-55.54002562262084,-30.88970899542541,67.18884060831944
3714,3220872017667428096,83.15834638622215,0.0118813864837139,,4.5498915,6.430145,310.32797,5.5071793,18.356117,-9.775835,39.02017,36.96807174577106,308.11816969220826,-0.0643524977438602
3715,2980114636595115520,73.82780336902755,-16.4175648264455,,4.8832173,5.9296956,89.490456,5.507933,13.467998,46.312157,37.998962,23.90906505665845,82.44484958238192,25.29318288675488
3716,5922343499831475584,260.77974008639853,-56.525533935654174,,4.853981,6.0024414,104.15982,5.507979,8.266402,3.3921735,-5.453392,-9.205377918285608,-56.708658024914925,86.88300883847883
3717,5306228070411106560,145.2598208995563,-57.25969680555844,1.473311,4.8205132,6.039392,111.52912,5.5081573,75.40478,-40.394962,37.67529,-49.56642876868069,34.37287185901889,93.81055072462357
3718,4911306239828325632,24.95131741550617,-56.19325138476668,,4.886207,5.9569917,8.189559,5.5083017,262.61493,14.961301,21.73723,4.131332480457019,1.9222001064030076,6.804859682708095
3719,211315178399395328,89.84071302696482,49.92452710034311,,4.7355323,6.1498184,384.19696,5.508331,-4.919039,-2.6340756,0.0,0.6876371781960366,247.34355794332023,-293.9863867125349
3720,5422737407706082048,140.5999500110749,-46.0473372393894,,4.897598,5.956683,158.97632,5.5083923,-2.8934782,24.048359,-6.895129,-85.26313900490754,70.03605654289912,114.44919498053294
3721,6632728238712866688,281.29824536763715,-61.095296219381424,,4.637305,6.288115,242.47614,5.508409,23.485851,-23.190264,-19.201492,22.961735633418943,-114.9305786962917,212.26963807039402
3722,1420101696287738368,256.3334175281892,54.4703527129838,,5.0956926,5.7279563,27.18347,5.508497,-56.510963,74.18104,-16.050611,-3.732373190319986,-15.349712310427307,-22.122313703503007
3723,1090367200025794176,124.82128578084595,62.50719436839288,1.475668,4.8890533,5.9432955,135.41335,5.5086074,-22.275131,8.581131,1.4391526,-35.695425095425676,51.31829373016189,-120.12095867959172
3724,681096777089578112,122.61289433225784,25.505787756746404,,4.926645,5.923268,40.165768,5.5087924,-72.954445,-347.88812,-44.433975,-19.538005333787506,30.53558504847477,-17.295470862456423
3725,194828345140276736,80.70956456432985,41.02927072927523,,5.363414,5.5758266,100.308876,5.5092645,-13.244561,2.486237,-12.246507,12.216166239066206,74.6778467690671,-65.84721018189464
3726,2599694230540900352,336.112979290071,-13.52930751116546,,4.868565,5.993908,160.79858,5.5107436,50.245167,14.010942,-19.518883,142.9455905549262,-63.3060299450005,37.617656007817516
3727,1709205638721316352,246.42733119112785,78.96432577552042,,5.302658,5.62163,41.50731,5.510821,-112.32662,105.447044,-4.3575096,-3.1774339602128023,-7.282325915021441,-40.73976467938902
3728,3310634944368705664,64.9909642432842,14.035119724261309,,5.25995,5.650659,45.420807,5.5111136,115.36907,-18.825388,39.00306,18.628917194867554,39.933398653468714,-11.01529957201167
3729,2395769080247888640,353.70588496278754,-15.246388574708398,,4.705042,6.2039633,116.74099,5.511364,47.806877,-86.91138,-35.01525,111.95324081325708,-12.348113892824935,30.699425090362688
3730,4402445936305708416,237.2365199828183,-3.8184782884399913,,5.402355,5.561226,53.11861,5.511378,-30.083767,7.256216,-10.453997,-28.682506235636712,-44.56890020081549,3.53747074397927
3731,5473488150018236928,153.53721012832844,-23.813898145804693,,4.4673295,6.6057377,324.60498,5.5114822,-25.555456,10.878886,-4.8613605,-265.85347620010486,132.3341483622988,131.064851925853
3732,4623036865373793408,84.29954054316471,-80.46445831742687,,5.050813,5.8115172,18.284332,5.5115805,310.9088,1049.0605,10.706408,0.3008608323858512,3.0139922663575702,18.0316979251566
3733,2002400103727404032,340.5866823904173,53.90871060076014,,4.5854774,6.39296,379.1283,5.511809,-2.8770106,-8.3834505,7.8488383,210.6368551594216,-74.23198184420137,-306.36578787606334
3734,5931522119892234880,245.10537499034845,-55.139770011487386,,4.870271,5.986876,114.1169,5.5120363,20.623768,-14.270468,0.45068562,-27.45715607314728,-59.16591239790748,93.63848704516732
3735,2304407257482669952,351.7609711240992,87.30758267868885,,5.2995143,5.62815,96.18468,5.5121346,74.975044,16.019049,-11.73509,4.47157055759687,-0.6474726722179321,-96.0785017711536
3736,5192580796186293504,150.18162045352378,-82.21453172542594,,5.4703555,5.5266204,123.438866,5.512283,-26.01055,31.140923,0.0,-14.507723947459398,8.314833241157276,122.30103488279246
3737,3319644995481568640,87.55448204259555,4.423234084741299,,4.691834,6.2083836,160.93803,5.5124397,9.611206,-38.599697,29.09149,6.846672923364141,160.31254750644683,-12.412078075592563
3738,328788886199337344,30.74139776648,33.28410250130128,,5.455664,5.5205836,109.486176,5.512828,-15.960113,-7.109512,-4.1235147,78.66507928541768,46.78481466502848,-60.08501604294421
3739,1425757966351711616,249.04749062195708,52.900175236991856,,5.543875,5.485665,128.70146,5.51291,-12.776517,27.63489,0.0,-27.761251387782984,-72.50009043533491,-102.65045355177041
3740,3425544178747145216,92.88460813309337,24.4200236821754,,4.780806,6.073525,160.4712,5.5129204,0.37251943,-51.61598,11.765103,-7.353201569003945,145.93018257576574,-66.34243189339143
3741,6371557530914670976,317.3502273752858,-73.17454548407463,,5.041137,5.813269,21.315437,5.5129414,431.23575,-388.9255,-10.608402,4.538018736169285,-4.180203478133284,20.402944378999514
3742,4675576135153914368,68.39031136658936,-62.823760166051166,,4.843847,6.021782,44.034206,5.5130205,-117.58295,-18.728899,31.5641,7.406772942075761,18.69813466149112,39.1730873536375
3744,6313611584502853376,224.72277818848428,-11.144297211257816,,4.769072,6.1291494,107.03225,5.5144296,-105.40995,-62.972977,-15.131319,-74.61452357187123,-73.89595988571477,20.68725512904033
3745,6601132054099267456,339.14744589853586,-31.66396839010592,,4.8118114,6.0634904,102.07147,5.514707,-42.38275,-39.956932,18.671879,81.18675536891584,-30.925198441182086,53.581039948868366
